#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Has patch,Affected Flow version,Description
33493,TYPO3.Fluid,Feature,"",Resolved,Could have,Allow DebugViewHelper output only the type of the input variable,Adrian Föder,Adrian Föder,2012-05-08 20:39,ViewHelpers,1.1,2012-01-27,"","",100,2012-01-27 08:43,"","",441200,"",No,"","Due to the var_dump drawback that sometimes the memory consumption is too large or the list just becomes too long, I suggest a flag that only outputs the type of the intended variable instead of its dump."
33494,TYPO3.Fluid,Feature,"",Resolved,Should have,Verify state and future intentions of a persistence identity VH,Adrian Föder,Adrian Föder,2012-06-18 04:37,ViewHelpers,1.1 RC1,2012-01-27,"","",100,2012-01-27 09:50,"","",441250,"",No,"","Currently, there is an Identity.JsonViewHelper that has two major drawbacks:

* the Code Example talks about a Persistence.Identity ViewHelper that only outputs raw @97e7e90a-413c-44ef-b2d0-ddfa4387b5ca@, for example
* the actual output of the Identity.JsonViewHelper is @json_encode(array('__identity' => $identifier))@

additionally, in the Conference package there's a @Identity.Uuid@ that basically also outputs raw @97e7e90a-413c-44ef-b2d0-ddfa4387b5ca@.


I do not agree with the following things in the current situation:

* I think there should be a better name than Persistence.Identity; the ""namespace"" Persistence doesn't feel good to me. Let's discuss this, maybe you agree.

* Outputting JSON would not make much sense; at least I'd expect the RAW value put out that could than be edited further (in this case I agree with the code sample's behaviour or the Conference's Identity.Uuid's(same).

Maybe the Format.Json VieHelper I just pushed could be involved, at least as post-processor using ViewHelper chaining or similar.

I really think we should clean up here some things.

--

While writing this, I think at least correcting the Code Example should be duty, and there should be a new flag called e.g. ""rawIdentifier"" that only returns the plain ID string with no JSON around.

But, well, the VH's name is already JSON, so...
what? :)

Just tell me some guidelines, I will gladly do it."
33551,TYPO3.Fluid,Bug,"",New,Must have,View helper values break out of a partial scope,Stephan Schuler,Sebastian Kurfuerst,2013-06-05 08:41,Core,"",2012-01-31,"","",0,2012-01-31 06:05,"","",444100,"",No,(any),"If a partial is called at least twice which has a certain view helper inside, the last occurence of the inside value breaks out of the partials scope and will be the result of all usages of this view helper from now on.

This only appears when the first call triggers the caching mechanism but executes the uncached template (AbstractTemplateView::render() $parsedTemplate is instance of ""TYPO3\Fluid\Core\Parser\ParsingState"").
As soon as the template is a compiled one (AbstractTemplateView::render() $parsedTemplate is instance of ""TYPO3\Fluid\Core\Compiler\AbstractCompiledTemplate""), the result is as expected.

Main template:
<pre>
<html>
	<head>
		<title>Little bug</title>
	</head>
	<body>
		<ol>
			<li><f:escape type=""xml"">I am pre partial</f:escape></li>
			<f:render partial=""Demo"" arguments=""{value: 'I am the first node within a partial'}"" />
			<f:render partial=""Demo"" arguments=""{value: 'I am not the first but the second node within a partial'}"" />
			<li><f:escape type=""xml"">I am post partial</f:escape></li>
		</ol>
	</body>
</html>
</pre>

Demo-Partial:
<pre>
<li><f:escape type=""xml"">{value}</f:escape></li>
</pre>

The expected result would be:
<pre>
1. I am pre partial
2. I am the first node within a partial
3. I am not the first but the second node within a partial
4. I am post partial
</pre>

But the given result is:
<pre>
1. I am pre partial
2. I am the first node within a partial
3. I am not the first but the second node within a partial
4. I am not the first but the second node within a partial
</pre>"
33569,TYPO3.Fluid,Bug,"",Resolved,Should have,AbstractFormFieldViewHelper always converts entities to identities,Bastian Waidelich,Bastian Waidelich,2012-02-01 08:52,ViewHelpers,"",2012-01-31,"","",100,2012-01-31 15:19,"","",444950,"",No,Git master,AbstractFormFieldViewHelper::getValue() currently always tries to convert objects by calling PersistenceManager::getIdentifierByObject(). This makes it impossible for custom ViewHelpers to access the unmodified value.
33570,TYPO3.Fluid,Bug,"",Resolved,Should have,UploadViewHelper must not convert resources if errors occurred,Bastian Waidelich,Bastian Waidelich,2012-02-01 08:52,ViewHelpers,"",2012-01-31,"","",100,2012-01-31 15:25,"","",445000,"",No,Git master,"If getMappingResultsForProperty() contains errors, uploaded resources should not been converted."
33628,TYPO3.Fluid,Bug,"",Needs Feedback,Must have,Multicheckboxes (multiselect) for Collections don?t work,Kira Backes,Christian Müller,2012-06-28 04:27,ViewHelpers,"",2012-02-02,"","",0,2012-02-02 09:48,"","",447850,"",No,FLOW3 1.0.0,"Let?s say I have a search and there are 20 categories which are selectable (I can select one, three or even all of them) then I would like all selected categories to be loaded into a collection, so I can search in those categories. For this use-case there is the following code:

Action
<pre>
	/**
	 * Submit search action
	 *
	 * @param \Doctrine\Common\Collections\ArrayCollection<\Package\Name\Domain\Model\Category> $categories
	 * @return void
	 */
	public function submitSearchAction(\Doctrine\Common\Collections\ArrayCollection $categories) {
</pre>

Template
<pre>
		<f:for each=""{categories}"" as=""category"" iteration=""it"">
			<div style=""width: 300px; float: left;"">
				<f:form.checkbox  id=""category{it.cycle}"" name=""categories[]"" value=""{category}"" />
				<label for=""category{it.cycle}""><f:translate>{category.name}</f:translate></label>
			</div>
		</f:for>
</pre>

Now the problem is that the CheckBoxViewHelper always renders an empty hidden field with an empty value for check boxes. Due to this hidden field with an empty value FLOW3 tries to load the Category with the persistence identifier of """", which throws an exception. When I remove the hidden field (in a hacky way) then everything works as expected.

<pre>
#1297759968: Exception while property mapping at property path ""0"": Object with identity """" not found.

Nested Exception
#1297933823: Object with identity """" not found.
TYPO3\FLOW3\Property\Exception\TargetNotFoundException
</pre>"
33812,TYPO3.Fluid,Task,"",Resolved,Must have,Rename key to id in TranslateViewHelper,Karsten Dambekalns,Karsten Dambekalns,2012-02-16 20:47,ViewHelpers,1.1,2012-02-09,"","",100,2012-02-09 07:53,"","",457000,"",No,"","Since the key attribute refers to the trans-unit id in XLIFF, it is more intuitive to rename the attribute to id."
33814,TYPO3.Fluid,Feature,"",Resolved,Should have,Hint how to allow string comparison in IfViewHelper,Adrian Föder,Adrian Föder,2012-02-22 08:48,ViewHelpers,1.1,2012-02-09,"","",100,2012-02-09 08:43,"","",457100,"",No,"","currently, string comparisons are not directly supported. With a trick, it can be achieved nevertheless (@{0: foo.bar} == {0: 'stringToCompare'}@).
The Code example should mention that trick at least until ""real"" comparisons are allowed."
33817,TYPO3.Fluid,Feature,"",Resolved,Could have,SwitchViewHelper,Adrian Föder,Bastian Waidelich,2013-05-29 08:36,ViewHelpers,"",2012-02-09,"","",100,2012-02-09 09:28,"","",457250,"",No,"","Fluid should provide a Switch VH that behaves like the well-known switch-case structure.

Syntax suggestion:
<pre>
<f:switch comparand=""{foo.bar}"">
  <f:switch.case comparand=""valuecase1"">
    <span>Output in this case.</span>
  </f:switch.case>

  <f:switch.case comparand=""nothervaluecase"">
    <a>Output in another case.</a>
  </f:switch.case>

  <f:switch.case comparand=""third"">
    <a>Output in another case.</a>
  </f:switch.case>

  <f:switch.default>
    Default value if nothing else matches.
  </f:switch.default>
</f:switch>
</pre>


There's an already present implementation here: http://fedext.net/fed-viewhelpers/loops-conditions/switch/ but tbh I at least don't agree with the ""default"" implementation because it could collide with the value being ""default"" as string:
<pre>
<fed:switch value=""{switchValue}"">
  <fed:case case=""1"">
      <p>Case was 1</p>
  </fed:case>
  <fed:case case=""default"">
    <p>Case was default</p>
  </fed:case>
</fed:switch>
</pre>"
33900,TYPO3.Fluid,Feature,"",Resolved,Should have,Change debug view helper for new extbase debugger,Alexander Schnitzler,Alexander Schnitzler,2012-07-10 02:27,ViewHelpers,"",2012-02-13,"","",100,2012-02-13 18:02,"","",461350,"",Yes,"","Since Jochen Rau merged the backport of the FLOW3 Debugger into the extbase master the Fluid view helper should be changed, too."
34186,TYPO3.Fluid,Bug,"",Closed,Should have,Setting a value always resets the field on mapping errors,Kira Backes,Bastian Waidelich,2015-02-25 04:29,ViewHelpers,"",2012-02-22,"","",0,2012-02-22 09:41,"","",475500,"",No,Git 1.0,"If I set a value on any field of the form it gets reset every time there
is a mapping error, so the user has to reenter the field every time.

Could easily be fixed by changing the order of the if-clause in
\TYPO3\Fluid\ViewHelpers\Form\AbstractFormFieldViewHelper::getValue"
34231,TYPO3.Fluid,Task,"",Resolved,Should have,Move link.widget & uri.widget ViewHelpers to Widget subfolder,Bastian Waidelich,Bastian Waidelich,2012-05-14 20:38,Widgets,1.1,2012-02-24,"","",100,2012-02-24 09:40,"","",477750,"",No,"","Widget related ViewHelpers should be in the Widget subfolder of Fluid (as in v4).
@link.widget@ should be @widget.link@, @uri.widget@ should be @widget.uri@.
Existing ViewHelper classes should extend the moved classes and marked deprecated."
34232,TYPO3.Fluid,Feature,"",Resolved,Should have,Translation support in SelectViewHelper,Karsten Dambekalns,Karsten Dambekalns,2012-03-19 21:38,ViewHelpers,1.1,2012-02-24,"","",100,2012-02-24 10:29,"","",477800,"",No,"",The SelectViewHelper should offer translation of option labels.
34309,TYPO3.Fluid,Task,"",New,Could have,Unknown ViewHelpers cause exception - should be handled more graceful,Lars Düsing,"",2012-03-07 12:40,ViewHelpers,"",2012-02-26,"","",0,2012-02-26 17:24,"","",481500,"",No,"","Current git. Backend -> Login -> Management -> User Settings

Object ""TYPO3\Fluid\ViewHelpers\Form\TextboxViewHelper"" is not registered.
46 TYPO3\FLOW3\Object\ObjectManager::get(""TYPO3\Fluid\ViewHelpers\Form\TextboxViewHelper"")

45 TYPO3\Fluid\Core\Parser\TemplateParser_Original::initializeViewHelperAndAddItToStack(TYPO3\Fluid\Core\Parser\ParsingState, ""f"", ""form.textbox"", array)

44 TYPO3\Fluid\Core\Parser\TemplateParser_Original::openingViewHelperTagHandler(TYPO3\Fluid\Core\Parser\ParsingState, ""f"", ""form.textbox"", "" property=&quot;accountIdentifier&quot; "", boolean)

43 TYPO3\Fluid\Core\Parser\TemplateParser_Original::buildObjectTree(array)

42 TYPO3\Fluid\Core\Parser\TemplateParser_Original::parse(""&lt;fieldset&gt;?	&lt;legend&gt;Account&lt;/legend&gt;??	&lt;div class=?			&lt;/f:for&gt;?			&lt;/ul&gt;?		&lt;/div&gt;?	&lt;/f:if&gt;?&lt;/fieldset&gt;"")

41 TYPO3\Fluid\View\AbstractTemplateView::renderPartial(""Module/Shared/EditUserSettingsForm"", NULL, array)

40 TYPO3\Fluid\ViewHelpers\RenderViewHelper_Original::render(NULL, ""Module/Shared/EditUserSettingsForm"", array, boolean)

39 call_user_func_array(array, array)

38 TYPO3\Fluid\Core\ViewHelper\AbstractViewHelper::callRenderMethod()

37 TYPO3\Fluid\Core\ViewHelper\AbstractViewHelper::initializeArgumentsAndRender()

36 {closure}()

35 TYPO3\Fluid\Core\ViewHelper\AbstractViewHelper::renderChildren()

34 TYPO3\Fluid\ViewHelpers\FormViewHelper_Original::render(""update"", array, NULL, NULL, NULL, TYPO3\FLOW3\Persistence\Doctrine\Proxies\__CG__\TYPO3\FLOW3\Security\Account, """", """", array, boolean, boolean, array, NULL, NULL, NULL)

33 call_user_func_array(array, array)

32 TYPO3\Fluid\Core\ViewHelper\AbstractViewHelper::callRenderMethod()

31 TYPO3\Fluid\Core\ViewHelper\AbstractViewHelper::initializeArgumentsAndRender()

30 FluidCache_TYPO3_TYPO3__Module_Management_UserSettings_action_index_d27cd389edf3cbd52046311e12184a2cb263dec6::section_040f06fd774092478d450774f5ba30c5da78acc8(TYPO3\Fluid\Core\Rendering\RenderingContext)

29 TYPO3\Fluid\View\AbstractTemplateView::renderSection(""content"", array, boolean)

28 TYPO3\Fluid\ViewHelpers\RenderViewHelper_Original::render(""content"", NULL, array, boolean)

27 call_user_func_array(array, array)

26 TYPO3\Fluid\Core\ViewHelper\AbstractViewHelper::callRenderMethod()

25 TYPO3\Fluid\Core\ViewHelper\AbstractViewHelper::initializeArgumentsAndRender()

24 FluidCache_TYPO3_TYPO3__Module_Management_UserSettings_layout_BackendModule_f2946d21abf7b9b9c1a8b6de9e4127661f5436c8::render(TYPO3\Fluid\Core\Rendering\RenderingContext)

23 TYPO3\Fluid\View\AbstractTemplateView::render()

22 TYPO3\FLOW3\MVC\Controller\ActionController_Original::callActionMethod()

21 TYPO3\FLOW3\MVC\Controller\ActionController_Original::processRequest(TYPO3\FLOW3\MVC\Web\SubRequest, TYPO3\FLOW3\MVC\Web\SubResponse)

20 TYPO3\FLOW3\MVC\Dispatcher_Original::dispatch(TYPO3\FLOW3\MVC\Web\SubRequest, TYPO3\FLOW3\MVC\Web\SubResponse)

19 TYPO3\FLOW3\MVC\Dispatcher::dispatch(TYPO3\FLOW3\MVC\Web\SubRequest, TYPO3\FLOW3\MVC\Web\SubResponse)

18 TYPO3\TYPO3\Controller\Backend\ModuleController_Original::indexAction(array)

17 call_user_func_array(array, array)

16 TYPO3\FLOW3\MVC\Controller\ActionController_Original::callActionMethod()

15 TYPO3\FLOW3\MVC\Controller\ActionController_Original::processRequest(TYPO3\FLOW3\MVC\Web\Request, TYPO3\FLOW3\MVC\Web\Response)

14 TYPO3\FLOW3\MVC\Dispatcher_Original::dispatch(TYPO3\FLOW3\MVC\Web\Request, TYPO3\FLOW3\MVC\Web\Response)

13 TYPO3\FLOW3\MVC\Dispatcher::dispatch(TYPO3\FLOW3\MVC\Web\Request, TYPO3\FLOW3\MVC\Web\Response)

12 call_user_func_array(array, array)

11 TYPO3\FLOW3\MVC\Dispatcher::FLOW3_AOP_Proxy_invokeJoinPoint(TYPO3\FLOW3\AOP\JoinPoint)

10 TYPO3\FLOW3\AOP\Advice\AdviceChain::proceed(TYPO3\FLOW3\AOP\JoinPoint)

9 TYPO3\FLOW3\Security\Aspect\RequestDispatchingAspect_Original::setAccessDeniedResponseHeader(TYPO3\FLOW3\AOP\JoinPoint)

8 TYPO3\FLOW3\AOP\Advice\AroundAdvice::invoke(TYPO3\FLOW3\AOP\JoinPoint)

7 TYPO3\FLOW3\AOP\Advice\AdviceChain::proceed(TYPO3\FLOW3\AOP\JoinPoint)

6 TYPO3\FLOW3\Security\Aspect\RequestDispatchingAspect_Original::blockIllegalRequestsAndForwardToAuthenticationEntryPoints(TYPO3\FLOW3\AOP\JoinPoint)

5 TYPO3\FLOW3\AOP\Advice\AroundAdvice::invoke(TYPO3\FLOW3\AOP\JoinPoint)

4 TYPO3\FLOW3\AOP\Advice\AdviceChain::proceed(TYPO3\FLOW3\AOP\JoinPoint)

3 TYPO3\FLOW3\MVC\Dispatcher::dispatch(TYPO3\FLOW3\MVC\Web\Request, TYPO3\FLOW3\MVC\Web\Response)

2 TYPO3\FLOW3\MVC\Web\RequestHandler::handleRequest()

1 TYPO3\FLOW3\Core\Bootstrap::run()


Please include more helpful information!"
34324,TYPO3.Fluid,Bug,Task #11969: Make widgets' template configurable,Closed,Must have,Template of widgets can't be changed,Christian Müller,Karsten Dambekalns,2012-03-07 10:50,Widgets,"",2011-04-01,"","",20,2012-02-27 09:16,"","",482250,"",No,FLOW3 1.0.0,"Currently the widgets use the default template path only and it is impossible to override those which is kind of a nogo.

Attached patch fixes this. The path can be set via TS. e.g. 

<pre>
plugin.tx_fo.view.widgetRootPath = fileadmin/fo/
</pre>
If using the pagination widget, the index.html needs to be at fileadmin/fo/ViewHelpers/Widget/Paginate/Index.html

One open question: Is this the correct way to go with the part ""ViewHelpers"" inside this path? or should it be fileadmin/fo/Paginate/Index.html?"
34428,TYPO3.Fluid,Feature,"",Rejected,Should have,FLUID comments <!--- ... --->,Michael Knoll,Bastian Waidelich,2012-03-09 07:36,Core,"",2012-02-29,"","",0,2012-02-29 17:54,"","",487300,"",No,"","I opened up this issue as a reference for a branch committed to gerrit. Here are some thoughts about this feature:

http://mimi.kaktusteam.de/blog-posts/2012/02/fluid-comments/

There is also a discussion in the mailing list:

http://lists.typo3.org/pipermail/typo3-project-typo3v4mvc/2012-February/011837.html

A patch / diff for FLUID 1.3.0 is available here:

http://mimi.kaktusteam.de/uploads/media/fluid_comments.diff"
34643,TYPO3.Fluid,Task,"",Resolved,Should have,variable annotations missing prepending backslash,Bernhard Fischer,Bernhard Fischer,2012-03-08 08:38,"",1.1,2012-03-07,"","",100,2012-03-07 09:30,"","",497700,"",No,"",Automated scan found some incorrect annotations.
34682,TYPO3.Fluid,Bug,"",Under Review,Should have,Radio Button missing checked on validation error,Kira Backes,"",2013-11-20 14:58,ViewHelpers,"",2012-03-09,"","",0,2012-03-09 05:30,"","",499550,"",No,Git master,"The checked state of a radio button is not properly checked in the case of a validation error, this should be checked by comparing the value to the lastSubmittedFormData"
35041,TYPO3.Fluid,Bug,"",Resolved,Should have,TranslateViewHelper returns empty string if id is missing and view helper tag is empty,Andreas Wolf,Karsten Dambekalns,2012-05-26 09:35,ViewHelpers,1.1 beta 2,2012-03-20,"","",100,2012-03-20 10:23,"","",517350,"",No,Git master,"With an empty view helper tag (<f:translate id=""some.message.id"" />) and a missing id, the view helper just returns nothing instead of displaying the id. From what is specified for the i18n API, I would expect to get the ID."
35090,TYPO3.Fluid,Bug,"",Resolved,Should have,base64-encode of URI-transferred serialized objects,Adrian Föder,Adrian Föder,2013-07-30 09:37,"","",2012-03-21,"","",100,2012-03-21 09:49,"","",519800,"",Yes,Git master,"At least Fluid-Widgets add a serialized object to links in order to transfer them across requests.
Maybe it's considerable to base64-encode these serialized objects to avoid problems like the [[FLOW3:Installation_hints#Unexpected-behavior-with-serialized-objects-in-request-arguments|suhosin's null-byte-omission]].

Additional explanation: serialized objects contain NULL bytes if a property of the object is protected."
35295,TYPO3.Fluid,Bug,"",Resolved,Must have,Alphanumeric-Validator fails on umlauts,Georg Ringer,Karsten Dambekalns,2013-01-05 09:30,ViewHelpers,"",2012-12-25,"","",100,2012-03-28 01:45,"","",529700,0.00,Yes,FLOW3 1.0.0,"this is a copy of #35284, 
-------------
The alphanumeric validator fails to validate for umlauts or other non-ascii letters.
-------------

this needs also be changed in @Tx_Extbase_Validation_Validator_AlphanumericValidator@ and then backported

for patch see https://review.typo3.org/#/c/9923/"
35748,TYPO3.Fluid,Feature,"",Resolved,Could have,Add generic data-* attribute,Julian Wachholz,Bastian Waidelich,2013-12-18 10:40,ViewHelpers,"",2012-04-06,"","",100,2012-04-06 10:07,"","",552150,"",Yes,"","All elements in HTML5 can have any number of @data-*@ attributes.
This should be made easier to use than with the @additionalAttributes@ property.

Example:

<pre>
<f:link.action data=""{loading-text: 'loading...'}"" action=""create"">create a new foo</f:link.action>
</pre>
"
35766,TYPO3.Fluid,Feature,"",Rejected,Should have,add custom namespaces in settings.yaml,rottenrice no-lastname-given,"",2014-04-19 12:37,View,"",2012-04-07,"","",0,2012-04-07 08:09,"","",553050,"",No,"","the repeated declaration of your own namespaces in the template files is an unnecessary overhead. with this update you can define custom namespaces in your Settings.yaml.

enhanced/edited TYPO3\Fluid\Core\Parser\TemplateParser:
<pre>
/**
 * Namespace identifiers and their component name prefix (Associative array).
 * @var array
 */
protected $namespaces = array();

/**
 * The FLOW3 settings
 * @var array
 */
protected $settings;

/**
 * Injects the settings and resets the namespace array
 *
 * @param array $settings The settings
 * @return void
 */
public function injectSettings(array $settings) {
	$this->settings = $settings;
	$this->reset();
}

/**
 * Resets the parser to its default values.
 *
 * @return void
 */
protected function reset() {
	$this->namespaces = array();
	if (isset($this->settings['Core']['Parser']['TemplateParser']['namespaces'])) {
		$this->namespaces = $this->settings['Core']['Parser']['TemplateParser']['namespaces'];
	}
}
</pre>

added Settings.yaml in Packages/Framework/TYPO3.Fluid/Configuration (required):
<pre>
TYPO3:
  Fluid:
    Core:
      Parser:
        TemplateParser:
          namespaces:
            f: 'TYPO3\Fluid\ViewHelpers'
</pre>

now each package has the possibility to add custom namespaces in Packages/Application/*.*/Configuration/Settings.yaml (optional)
<pre>
TYPO3:
  Fluid:
    Core:
      Parser:
        TemplateParser:
          namespaces:
            foo: 'my\foo\namespace'
</pre>"
35790,TYPO3.Fluid,Feature,Work Package #45013: Flexible plugin integration (TODO: Reviews),Resolved,Should have, allow f:link.action to operate on parent request,Fernando Arconada,Karsten Dambekalns,2013-05-06 13:35,ViewHelpers,2.0,2012-04-09,"","",100,2012-04-09 06:54,"","",554250,"",No,"","Original bug description:
<pre>
if you use f:link.action inside a widget it generates links to the widget actions and not links to other controllers as expected
</pre>

See below for feature description"
35894,TYPO3.Fluid,Bug,"",Resolved,Must have,"CheckboxViewHelper and RadioViewHelper missing an existence check for formObject, and thus an exception is being thrown",Sebastian Wojtowicz,Sebastian Wojtowicz,2012-06-18 11:38,ViewHelpers,1.1 RC1,2012-04-12,"",0.10,100,2012-04-12 06:08,"","",559300,"",No,Git master,"Scenario:
<pre>
Controller:
    indexAction(FormObject $formObject = NULL){ ... }
Template:
    <f:form ... object=""{formObject}' >
        <f:form.checkbox property=""somePropertyOfFormObject"" value=""yes""/>
        ...
 </pre>

This scenario fails with
<pre>
#1243325768: No value found for key ""TYPO3\Fluid\ViewHelpers\FormViewHelper->formObject""
</pre>


The problem is that in the CheckboxViewHelper and the RadioViewHelper we call @ $this->getPropertyValue()@ which callls @$formObject = $this->viewHelperVariableContainer->get('TYPO3\Fluid\ViewHelpers\FormViewHelper', 'formObject');@ even though we did not check if the formObject exists, so that instead we get thrown an exception.

For example in CheckboxViewHelper.php, Line 80 before we call getPropertyValue() we only check
<pre>
if ($this->isObjectAccessorMode())
</pre>
while all other [InputType]ViewHelper always check (in the getValue() function):
<pre>
if ($this->isObjectAccessorMode() && $this->viewHelperVariableContainer->exists('TYPO3\Fluid\ViewHelpers\FormViewHelper', 'formObject'))
</pre>

So I think that in CheckboxViewHelper, Line 80 and in RadioViewHelper, Line 81 there should also be the same check for the existence of the formObject. Unless someone knows of a better place to inject that bugfix.
"
36014,TYPO3.Fluid,Feature,"",Resolved,Should have,Prepend currency sign,Kilian Hann,"",2012-09-17 06:06,ViewHelpers,"","","","",0,2012-04-13 18:10,"","",565100,"",No,"","Add an option to prepend the currency sign, e.g. @CHF 123.45@"
36207,TYPO3.Fluid,Task,"",Resolved,Should have,Speed up performance in format.currency,Ingo Pfennigstorf,"",2014-02-19 05:36,ViewHelpers,"",2012-04-17,"","",100,2012-04-17 05:37,"","",574750,"",No,"",Related to #34519 setting an empty default value for format.currency speeds this ViewHelper up
36249,TYPO3.Fluid,Feature,"",Rejected,Won't have this time,Add autocomplete property to form input field,Kilian Hann,"",2012-11-14 02:32,"","","","","",0,2012-04-17 16:43,"","",576850,"",Yes,"",Please add the autocomplete property to the input field
36297,TYPO3.Fluid,Bug,"",Resolved,Must have,ValidationResults ViewHelper must always render childnodes,Bastian Waidelich,Bastian Waidelich,2012-04-18 20:37,ViewHelpers,1.1,2012-04-18,"","",100,2012-04-18 09:13,"","",578600,"",No,Git master,The adjustments to the new HTTP implementation in FLOW3 introduced a regression that prevents the child nodes of the ValidationResults ViewHelper from being rendered if no validation errors occurred.
36410,TYPO3.Fluid,Feature,"",New,Should have,Allow templates to send arguments back to layout,Florian Carstens,"",2012-08-13 05:46,ViewHelpers,"",2012-04-21,"","",0,2012-04-21 10:30,"","",583950,"",No,"","Layouts can differ a little on a website from page to page without affecting the whole layout. For example: Some pages contain a sidebar, others not. Or: Each page has it's own background which is set by a body or div container css class. I would like to set these kind of settings by sending arguments to the layout. That could e.g. be realised by extending the layout viewHelper:

<pre>
  <f:layout name=""Master"" arguments=""{cssClass: blueBackground}"" />
</pre>

Of course, I can do this in the controller. But I think this wouldn't be the right place according to the MVC design pattern."
36500,TYPO3.Fluid,Bug,"",Resolved,Must have,Ajax widgets can't be executed,Nicole Cordes,"",2012-05-14 20:38,"","",2012-04-24,"","",100,2012-04-24 04:17,"","",588300,"",No,Git master,Any ajax widget can't be executed because of the missing function setRoutesConfiguration which is called by \TYPO3\FLOW3\Http\RequestHandler->handleRequest.
36559,TYPO3.Fluid,Feature,"",New,Could have,New widget progress bar,Nicole Cordes,"",2012-04-25 09:11,"","",2012-04-25,"","",0,2012-04-25 09:11,"","",591250,"",Yes,"","I developed a new widget which might be interesting to move it to the core. It's an universal progress bar calling a controller action by ajax to load progress.

You can easily use it in your own fluid templates by just adding 

<pre>
<f:widget.progressbar id=""progressbar"" action=""ajax"" message=""1"" messageText=""This text is shown below the progress bar"" arguments=""{itemsToLoad: 10}"" controller=""yourController"" package=""yourPackage"" subpackage=""yourSubpackage"" />
</pre>

For explanation:
* id means the id of the div container the progress bar is insert into
* action is the action to be called from the ajax request
* message indicates if a message under the progress bar should be displayed
* messageText is the default text to show (under the progress bar)
* arguments is an array of arguments passed to the action request
* controller defines the controller the action belongs to, if not set the current one is used
* package and subpackage define the package the controller belongs to, if not set the current ones are used

The actions has to return an json string having to keys:
* value has to be an integer representing the status in percent (with the percent sign)
* messageText is the string added to the message container below the progress bar (if enabled)

If you have any questions just ask me :-)
"
36655,TYPO3.Fluid,Bug,"",New,Should have,Pagination Links,Carsten Bleicker,"",2012-06-23 16:18,Widgets,"",2012-04-27,"","",0,2012-04-27 06:51,"","",596000,"",No,Git master,"TYPO3\Fluid\ViewHelpers\Link\WidgetViewHelper

CSRF Tokens arent generated if ACL matches."
36662,TYPO3.Fluid,Bug,"",Needs Feedback,Should have,Checked state isn't always correct when property is collection,Kevin Ulrich Moschallski,Kevin Ulrich Moschallski,2013-08-14 09:39,ViewHelpers,1.1.1,2012-04-27,"","",0,2012-04-27 09:16,"","",596350,"",No,Git 1.1,The checkboxViewHelper doesn't always set the correct checked state when the property is an collection. I took the mechanism of the selectViewHelper and put it in the checkboxViewHelper.
37095,TYPO3.Fluid,Feature,"",New,Should have,It should be possible to set a different template on a Fluid TemplateView inside an action,Christopher Hlubek,Christopher Hlubek,2012-05-11 07:54,"","",2012-05-11,"","",0,2012-05-11 07:54,"","",617750,"",No,"","Right now it's not possible to decide inside an action which view template should be rendered. Especially if the action itself doesn't have a template file the @canRender()@ method will always return @FALSE@. Inside the @initializeAction@ or @initializeView@ method it's too early / too late to set a different template file and path.

The idea is to always return @TRUE@ in the @canRender@ method and return the @NotFoundView@ in the call to @render@ when no template source could be found."
37387,TYPO3.Fluid,Bug,"",Resolved,Must have,Translate Helper: Arguments replacement is not working for default value,Krzysztof Daniel,Karsten Dambekalns,2012-07-18 06:35,ViewHelpers,1.1 RC2,2012-05-22,"","",100,2012-05-22 04:02,"","",632150,"",No,FLOW3 1.1.0 beta 1,"I have following tag and there is no translation in xliff file yet for key 'something'

<f:translate id=""something"" arguments=""{0: 'test'}"">You haven't created a {0}, yet</f:translate>

Expected behavior would be that it will output:
You haven't created a test, yet

But argument replacement is not working for default message and output is now:
You haven't created a , yet"
37459,TYPO3.Fluid,Bug,"",Closed,Should have,FormViewHelper with GET method and query parameters in action is not usable,Christopher Hlubek,Bastian Waidelich,2012-05-24 06:32,ViewHelpers,"",2012-05-24,"","",0,2012-05-24 06:07,"","",635700,"",No,Git master,"If the form viewhelper is used with method=""GET"" and the action attribute that is built (given with @actionUri@ or using the URI builder) contains query paramters, they will be lost on form submission (http://www.w3.org/TR/html401/interact/forms.html#h-17.13.3.4).

The form viewhelper should parse query parameters in the action URI and prepend them as hidden fields in the form to pass them to the request that is submitted."
37460,TYPO3.Fluid,Feature,"",Resolved,Should have,TagBuilder should allow access to attribue collection,Christopher Hlubek,Christopher Hlubek,2012-05-26 09:35,Core,1.1 beta 2,2012-05-24,"","",100,2012-05-24 06:18,"","",635750,"",No,"","The TagBuilder should allow access to the attributes as it also allows access to the tag name, tag content, etc.

This is useful to extend and override existing viewhelpers and access the current data in the constructed tag."
